Ticket_ID,PSP_Code,Bereich,Titel,Beschreibung,Owner,Mitwirkende,Prioritaet,Aufwand_PT,Sprint_Start,Sprint_Ende,Abhaengigkeiten,Meilenstein,Lieferobjekt,Akzeptanzkriterien,Risiko,Status
S2-01,1.5,Architektur,Modulkonzept Backend finalisieren,"Servicegrenzen fuer Auth, Depots, Praeparate, Bestaende, Reporting, Audit als Module mit klaren Schnittstellen festziehen",Tech Lead / Backend,Web + Desktop,Muss,2,S2,S2,S1-04|S1-07,M2,Backend-Modulkonzept V1,"Module und Verantwortlichkeiten sind dokumentiert; interne Schnittstellen benannt; Team-Review abgeschlossen",Architekturdrift,Offen
S2-02,1.5,Architektur,Modulkonzept Clients finalisieren,"Desktop- und Web-Module inkl. gemeinsamer API-Client-Konventionen und Fehlerbehandlung definieren",Tech Lead / Architect,Desktop + Web,Muss,2,S2,S2,S1-04|S1-07,M2,Client-Modulkonzept V1,"UI-, Service- und API-Layer je Client beschrieben; gemeinsame Konventionen freigegeben",Client-Drift,Offen
S2-03,2.1,Fach,Domainenmodell Kernobjekte V1,"Entitaeten und Beziehungen fuer Depot, Praeparat, Bestand, Bewegung, Benutzer mit stabilen IDs und Lebenszyklus modellieren",Backend Lead,Product + QA,Muss,2,S2,S2,S1-02|S1-06,M2,Domain Model V1,"UML/ER-Modell liegt vor; Pflichtattribute und Zustandsregeln definiert; fachlich freigegeben",Fachinkonsistenz,Offen
S2-04,2.1,Fach,Geschaeftsregeln fuer Bewegungen und Bestand dokumentieren,"Regeln fuer Zugang, Abgang, Vernichtung, Saldenbildung und Plausibilitaeten verbindlich beschreiben",Backend + Product,QA,Muss,2,S2,S2,S2-03,M2,Business Rules V1,"Regeln sind testbar formuliert; Grenzfaelle beschrieben; als Akzeptanzgrundlage genutzt",Regressionsrisiko,Offen
S2-05,1.6,Architektur,ADR-003 Hybridmodus und Sync-Verantwortung,"Client-/Server-Verantwortung fuer Outbox, Konflikterkennung und Reconcile-Strategie verbindlich entscheiden",Architect / Sync Lead,Backend + Desktop,Soll,2,S2,S2,S1-06,M2,ADR-003,"ADR beschreibt Datenfluss und Fehlerfaelle; Konfliktprinzip dokumentiert; offene Punkte terminiert",Sync-Komplexitaet,Offen
S2-06,1.6,Architektur,ADR-004 Fehler- und Audit-Strategie,"Fehlerobjekt, Audit-Event-Schema und Nachvollziehbarkeit ueber API und Clients standardisieren",Tech Lead / Backend,QA + DevOps,Soll,1,S2,S2,S1-05|S1-07,M2,ADR-004,"Einheitliches Fehlerformat und Audit-Eventliste dokumentiert; mindestens 5 Kernereignisse definiert",Audit-Luecken,Offen
S2-07,1.7,Projekt,Repo- und CI-Grundsetup fuer Server-Strang,"Backend-Ordnerstruktur, lint/test Jobs und Branch-Regeln fuer den Serverpfad aufsetzen",Tech Lead,Backend + DevOps,Muss,2,S2,S2,S1-10,M2,Dev-Setup V1,"CI fuehrt Lint + Tests fuer neuen Backend-Strang aus; Branching-Regeln dokumentiert",Build-Instabilitaet,Offen
S2-08,2.4,API,OpenAPI V1 fuer Kernendpunkte schneiden,"Endpunkte, DTOs, Fehlercodes, Pagination und Filter fuer Auth, Depots, Praeparate und Bestaende definieren",Backend Lead,Web + Desktop,Muss,2,S2,S2,S1-07|S2-03|S2-04,M2,OpenAPI V1,"OpenAPI validiert; Endpunkte fuer Kernmodule vollstaendig; Consumer-Review durch Web/Desktop erfolgt",API-Aenderungen,Offen
S2-09,2.4,API,API-Kontrakt-Tests als Baseline etablieren,"Contract-Tests gegen OpenAPI fuer Success- und Fehlerfaelle vorbereiten",QA + Backend,Web,Soll,1,S2,S2,S2-08,M2,Contract-Test-Baseline,"Mindestens 8 Contract-Tests gruen; Fehlerobjekt wird geprueft; CI-Integration vorhanden",Qualitaetsluecke,Offen
S2-10,1.7,Projekt,Sprint-3 Readiness und Risiko-Review,"Abhaengigkeiten, Restpunkte und technische Risiken fuer Datenmodell/API-Phase S3 bewerten und priorisieren",PM / Tech Lead,Alle Leads,Muss,2,S2,S2,S2-01|S2-03|S2-08,M2,S3-Readiness-Paket,"S3-Backlog ist startklar; Risiken mit Gegenmassnahmen dokumentiert; Entscheidungen protokolliert",Planungsstau,Offen
